PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-5.494140148185147,2.4027120259113013,0.759290544773108,-0.5983670057757985,-2.3214993950557474,0.027241645304976227,-2.252046451760374,0.4613463114684638,-1.3445337108442816,0.5872105925505171
-6.171052014456166,1.7409102521348314,1.5461007927011785,0.04518051690567202,-1.2865305650118386,-1.7682483472062798,-2.6734780073247224,-0.9287731267837307,0.41173654768664364,0.9181497687244888
-5.748481320017738,2.287189997348633,-0.8247569781144183,-0.41841949462929234,-1.008647216025502,-0.02430795930678379,-3.0302427263858336,1.2248662473168253,-0.1737678652688053,1.4918258186412228
-3.922249579832469,1.6055667809577234,-0.6812602131197361,1.9406132747451046,-0.6549530194666214,0.945149141829995,-2.7875677853941028,-0.90050078297075,-1.2491645841132009,-0.7264479007549062
-3.5714113546781947,1.5447464296572762,-0.5274474842989584,2.0644596035041056,-1.0861347538214488,0.8966898302992731,-2.841979346585373,-0.8472111568577047,-1.885439135497487,-0.7424065488746792
-4.53642721839805,0.8488812725742888,0.07315353014974024,1.078163226031023,-0.9490525254918117,1.803716437011521,-1.5471726781830624,-0.8106485140426494,-1.3829645069495227,0.03423332101265656
-4.690149408282059,2.024757789975974,-1.009092628592439,0.6102913854653256,-0.16253513029202105,1.1969096641861818,-1.3737965130141707,-1.3567506835880996,-0.0618610544083394,-1.154719642317362
-4.690149408282059,2.024757789975974,-1.009092628592439,0.6102913854653256,-0.16253513029202105,1.1969096641861818,-1.3737965130141707,-1.3567506835880996,-0.0618610544083394,-1.154719642317362
-6.179114246655041,2.365454440702376,0.6364235729711235,-0.6419672283204791,-1.3897054920412624,-0.35872286082940485,-2.2011387015931225,0.06234253762437902,-0.008404734738422898,0.6524244285162769
-6.1718338500890235,2.595897551888053,0.2802634527624619,-0.8063562065172987,-1.404817245401528,-0.11215510706816102,-2.0718628672264914,0.23322423834162828,-0.15979093065471922,0.4782555400146685
-3.431009703182779,2.1915619792470165,0.7951331473683607,-0.033632673085441156,-2.123482013606303,-2.811574749902775,-3.1461493946258443,0.7695927365644528,-0.6738755986659616,1.5679216176250124
-4.865090110759705,1.6319087577443716,-1.100411640028751,0.6434036033101176,-0.3187449965435222,1.7632242120432466,-1.7601417623522262,-1.3965221641735488,-0.12719002295805595,-0.8012364775812131
-4.846465306844898,2.415767850527494,-0.9764241453318857,-1.0170377501431966,-2.6398508407898924,-0.3564198327241131,-2.9587176323996727,-0.21672940348766073,-1.2910002011740982,0.5632850748410916
-5.464603429024495,2.1897993819473895,1.0277855406770748,-0.32826921577554097,-2.2495414308603094,-0.5976932826207177,-2.3710200337592564,0.05744812422495748,-1.2315129627480017,0.6333037724044138
-4.396788086643898,1.094826060077396,-0.253650872115599,0.9730822231879089,-1.0331517230882805,1.8498183092508222,-1.624336913839039,-0.9043435362683825,-1.404531050808964,-0.26163771082757165
-4.439569698297253,1.3654013100427151,-0.23966990454175965,1.027115331783912,0.8807423951251729,1.6614504803143704,-2.4358225096710315,-0.23635506400011352,-1.4208269679802878,-0.05035581756500792
-4.883200789402113,1.2338878083303555,-0.36520791288958326,1.5914563315996881,0.3835679903009596,1.8063451591454056,-2.17520013341354,-0.09089885987582254,-0.050144504631102184,0.1286867041136283
-5.158600198995686,1.5295816897771115,-0.2373658169820031,-1.24669642146211,-1.4393304143276526,-1.3786669817897068,-2.501156245481574,-0.0030070459802890646,0.6691483821769025,2.0745573384893943
-5.109919771110629,0.8792693580336192,-0.09487408056646573,0.8839896441167012,-0.10206738084736845,1.7790061150838041,-1.5175257022893596,-1.0313796606734988,-0.0008678812422896408,0.08353566290885438
