year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0.084507,ford,m-thunderbird,excellent,8,gas,0.0043,clean,automatic,rwd,compact,convertible,blue,39000
0.084507,ford,m-thunderbird,good,8,gas,0.008066,clean,automatic,rwd,mid-size,convertible,blue,44500
0.084507,chevrolet,m-210,'like new',8,gas,0.00003,clean,manual,rwd,full-size,coupe,yellow,52995
0.098592,gmc,'m-lcf 2 ton dually',excellent,8,gas,0.075461,clean,manual,rwd,full-size,truck,green,7200
0.098592,gmc,'m-lcf 2 ton dually',excellent,8,gas,0.075461,clean,manual,rwd,full-size,truck,green,7200
0.098592,chevrolet,m-wagon,fair,6,gas,0.005793,clean,manual,rwd,full-size,wagon,yellow,7500
0.098592,chevrolet,m-belair,fair,8,gas,0.01,clean,automatic,rwd,full-size,coupe,black,11500
0.098592,ford,m-f100,good,8,gas,0.0064,clean,automatic,rwd,full-size,truck,black,13900
0.098592,ford,'m-custom 300',excellent,6,gas,0.0076,clean,manual,rwd,full-size,sedan,black,26000
0.098592,chevrolet,m-bel-air,excellent,8,gas,0.000123,clean,automatic,rwd,full-size,coupe,custom,28000
0.098592,chevrolet,'m-bel air','like new',8,gas,0.00028,clean,automatic,rwd,full-size,coupe,red,85000
0.112676,jeep,m-fcw170,good,6,gas,0.01,clean,manual,4wd,full-size,truck,red,5000
0.112676,chevrolet,m-delray,good,6,gas,0.0042,clean,manual,rwd,full-size,sedan,black,5800
0.126761,ford,m-f-100,fair,8,gas,0.0017,clean,automatic,rwd,full-size,pickup,custom,10000
0.126761,gmc,m-100,good,6,gas,0.00001,clean,manual,rwd,full-size,truck,black,10500
0.140845,volkswagen,m-beetle,good,'4',gas,0.000005,clean,manual,rwd,compact,other,custom,5000
0.140845,ford,m-falcon,excellent,6,gas,0.0005,clean,automatic,rwd,compact,sedan,custom,8500
0.140845,chevrolet,'m-el camino',good,other,gas,0.01,clean,automatic,rwd,full-size,other,white,10000
0.140845,pontiac,m-bonneville,excellent,8,gas,0.00143,clean,automatic,rwd,full-size,coupe,red,24500
0.15493,ford,'m-falcon wagon',good,6,gas,0.0047,missing,automatic,rwd,mid-size,wagon,white,1900
0.15493,chevrolet,'m-swb apache',good,8,gas,0,clean,manual,4wd,full-size,truck,blue,12000
0.15493,chevrolet,m-c-10,excellent,8,gas,0.0085,clean,automatic,rwd,full-size,pickup,custom,22000
0.15493,mini,'m-cooper s',excellent,'4',gas,0.003,clean,manual,rwd,full-size,coupe,custom,22500
0.15493,ford,m-starliner,excellent,8,gas,0.013,clean,manual,rwd,full-size,coupe,black,35000
0.169014,ford,'m-fairlane 500',good,8,gas,0.009055,clean,automatic,rwd,full-size,sedan,custom,4200
0.169014,chevrolet,m-impala,fair,8,gas,0.006,clean,automatic,rwd,full-size,sedan,red,5000
0.169014,ford,'m-galaxie 500',salvage,8,gas,0.006456,clean,manual,rwd,full-size,sedan,grey,9250
0.169014,chrysler,'m-tc by maserati','like new','4',gas,0.002512,clean,automatic,fwd,full-size,convertible,black,10800
0.169014,ford,'m-fairlane 500',good,8,gas,0.0095,clean,automatic,rwd,full-size,coupe,black,12000
0.169014,volvo,m-544,excellent,'4',gas,0.0095,clean,manual,rwd,compact,coupe,white,15500
0.169014,chevrolet,'m-corvette convertible',excellent,8,gas,0.005094,clean,manual,rwd,sub-compact,convertible,custom,55000
0.183099,mercury,m-comet,fair,6,gas,0.01,clean,automatic,rwd,full-size,coupe,purple,2250
0.183099,volvo,m-122s,good,'4',gas,0.01,clean,manual,rwd,compact,sedan,green,3333
0.183099,chevrolet,m-impala,fair,8,gas,0.008,clean,manual,rwd,full-size,sedan,brown,5000
