year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,price
0.084507,chevrolet,210,'like new',8,gas,3e-05,clean,manual,rwd,full-size,coupe,yellow,52995
0.098592,gmc,lcf 2 ton dually',excellent,8,gas,0.075461,clean,manual,rwd,full-size,truck,green,7200
0.098592,gmc,lcf 2 ton dually',excellent,8,gas,0.075461,clean,manual,rwd,full-size,truck,green,7200
0.098592,chevrolet,wagon,fair,6,gas,0.005793,clean,manual,rwd,full-size,wagon,yellow,7500
0.098592,chevrolet,belair,fair,8,gas,0.01,clean,automatic,rwd,full-size,coupe,black,11500
0.098592,ford,f100,good,8,gas,0.0064,clean,automatic,rwd,full-size,truck,black,13900
0.098592,ford,custom 300',excellent,6,gas,0.0076,clean,manual,rwd,full-size,sedan,black,26000
0.098592,chevrolet,bel-air,excellent,8,gas,0.000123,clean,automatic,rwd,full-size,coupe,custom,28000
0.098592,chevrolet,bel air','like new',8,gas,0.00028,clean,automatic,rwd,full-size,coupe,red,85000
0.112676,jeep,fcw170,good,6,gas,0.01,clean,manual,4wd,full-size,truck,red,5000
0.112676,chevrolet,delray,good,6,gas,0.0042,clean,manual,rwd,full-size,sedan,black,5800
0.126761,ford,f-100,fair,8,gas,0.0017,clean,automatic,rwd,full-size,pickup,custom,10000
0.126761,gmc,100,good,6,gas,1e-05,clean,manual,rwd,full-size,truck,black,10500
0.140845,volkswagen,beetle,good,4,gas,5e-06,clean,manual,rwd,compact,sedan,custom,5000
0.140845,ford,falcon,excellent,6,gas,0.0005,clean,automatic,rwd,compact,sedan,custom,8500
0.140845,chevrolet,el camino',good,6,gas,0.01,clean,automatic,rwd,full-size,sedan,white,10000
0.140845,pontiac,bonneville,excellent,8,gas,0.00143,clean,automatic,rwd,full-size,coupe,red,24500
0.15493,ford,falcon wagon',good,6,gas,0.0047,missing,automatic,rwd,mid-size,wagon,white,1900
0.15493,chevrolet,swb apache',good,8,gas,0.0,clean,manual,4wd,full-size,truck,blue,12000
0.15493,chevrolet,c-10,excellent,8,gas,0.0085,clean,automatic,rwd,full-size,pickup,custom,22000
0.15493,mini,cooper s',excellent,4,gas,0.003,clean,manual,rwd,full-size,coupe,custom,22500
0.15493,ford,starliner,excellent,8,gas,0.013,clean,manual,rwd,full-size,coupe,black,35000
0.169014,ford,fairlane 500',good,8,gas,0.009055,clean,automatic,rwd,full-size,sedan,custom,4200
0.169014,chevrolet,impala,fair,8,gas,0.006,clean,automatic,rwd,full-size,sedan,red,5000
0.169014,ford,galaxie 500',salvage,8,gas,0.006456,clean,manual,rwd,full-size,sedan,grey,9250
0.169014,chrysler,tc by maserati','like new',4,gas,0.002512,clean,automatic,fwd,full-size,convertible,black,10800
0.169014,ford,fairlane 500',good,8,gas,0.0095,clean,automatic,rwd,full-size,coupe,black,12000
0.169014,volvo,544,excellent,4,gas,0.0095,clean,manual,rwd,compact,coupe,white,15500
0.169014,chevrolet,corvette convertible',excellent,8,gas,0.005094,clean,manual,rwd,sub-compact,convertible,custom,55000
0.183099,mercury,comet,fair,6,gas,0.01,clean,automatic,rwd,full-size,coupe,purple,2250
0.183099,volvo,122s,good,4,gas,0.01,clean,manual,rwd,compact,sedan,green,3333
0.183099,chevrolet,impala,fair,8,gas,0.008,clean,manual,rwd,full-size,sedan,brown,5000
0.183099,ford,galaxie 500',good,6,gas,0.0,rebuilt,automatic,fwd,full-size,sedan,blue,6500
0.183099,chevrolet,impala,fair,6,gas,0.0073,clean,manual,rwd,full-size,sedan,green,7500
0.183099,ford,f100,good,8,gas,0.0122,clean,manual,rwd,full-size,pickup,green,12000
0.183099,pontiac,catalina,'like new',8,gas,0.018,clean,automatic,rwd,full-size,sedan,red,15000
0.183099,ford,galaxie 500 convertible',excellent,8,gas,0.009,clean,automatic,rwd,full-size,convertible,black,16900
0.183099,chevrolet,ii nova ss',excellent,8,gas,0.0028,clean,automatic,rwd,mid-size,coupe,grey,20000
0.183099,chevrolet,biscayne,good,8,gas,0.007035,clean,automatic,rwd,full-size,sedan,grey,22000
0.183099,chevrolet,biscayne,good,8,gas,0.007035,clean,automatic,rwd,full-size,sedan,grey,22000
0.183099,chevrolet,impala,excellent,8,gas,0.003297,clean,automatic,rwd,full-size,sedan,green,25000
0.183099,dodge,m37 powerwagon mopar',good,4,diesel,0.0053,clean,manual,4wd,full-size,truck,green,25000
0.183099,lincoln,continental,excellent,8,gas,0.00743,clean,automatic,rwd,full-size,sedan,silver,32500
0.183099,lincoln,continental,excellent,8,gas,0.00743,clean,automatic,rwd,full-size,sedan,silver,32500
0.197183,chevrolet,corvan,fair,6,gas,0.055556,clean,manual,rwd,full-size,van,blue,1200
0.197183,ford,f500,excellent,8,gas,0.0036,clean,manual,rwd,full-size,truck,blue,4000
0.197183,ford,fairlane 500',good,8,gas,0.007248,clean,automatic,rwd,mid-size,coupe,red,4800
0.197183,ford,fairlane 500',excellent,6,gas,0.001,clean,automatic,rwd,full-size,sedan,white,5000
0.197183,cadillac,convertible project',good,8,gas,0.01,clean,automatic,rwd,full-size,convertible,black,13000
0.197183,chevrolet,nova,excellent,8,gas,0.01,clean,manual,rwd,mid-size,coupe,grey,15000
0.197183,ford,galaxie 500 xl',good,8,gas,0.0087,clean,automatic,rwd,full-size,coupe,white,19500
0.197183,mercedes-benz,benz unimog',excellent,6,gas,0.00368,missing,manual,4wd,full-size,SUV,green,20000
0.197183,mercedes-benz,benz unimog',excellent,6,gas,0.00368,missing,manual,4wd,full-size,SUV,green,20000
0.197183,dodge,dart. gt','like new',8,gas,0.001996,clean,manual,rwd,mid-size,coupe,blue,22000
0.197183,ford,f-100,good,8,gas,0.010806,clean,automatic,rwd,full-size,truck,green,25800
0.197183,chevrolet,chevelle malibu',excellent,8,gas,0.0019,clean,automatic,rwd,mid-size,coupe,red,29300
0.197183,chevrolet,panel,'like new',8,gas,3e-06,clean,automatic,rwd,full-size,wagon,custom,35999
0.197183,chevrolet,impala ss',good,8,gas,0.000778,clean,manual,rwd,full-size,sedan,blue,52000
0.211268,ford,f 250',fair,8,gas,0.0072,missing,manual,rwd,full-size,truck,green,2975
0.211268,ford,thunderbird,fair,8,gas,0.0077,clean,automatic,rwd,full-size,coupe,custom,4500
0.211268,chevrolet,el camino',fair,8,gas,0.00742,clean,automatic,rwd,full-size,sedan,black,6000
0.211268,volkswagen,beetle,good,4,gas,0.0078,clean,manual,rwd,compact,coupe,blue,7000
0.211268,chevrolet,chevelle 300 deluxe',excellent,6,gas,0.0089,clean,automatic,rwd,full-size,sedan,grey,7800
0.211268,chevrolet,corvair,excellent,6,gas,0.0108,clean,manual,rwd,compact,sedan,white,8500
0.211268,mercury,comet caliente',excellent,8,gas,0.005988,clean,automatic,rwd,full-size,sedan,black,9950
0.211268,cadillac,coupe deville',excellent,8,gas,0.000697,clean,automatic,rwd,full-size,sedan,white,12000
0.211268,ford,galaxy ltd',good,8,gas,0.00155,clean,automatic,rwd,full-size,sedan,white,12500
0.211268,ford,tunderbird,excellent,8,gas,0.01035,clean,automatic,rwd,mid-size,coupe,green,12800
0.211268,ford,thunderbird,excellent,8,gas,0.01117,clean,automatic,rwd,full-size,coupe,white,13500
0.211268,ford,mustang,excellent,8,gas,0.004189,clean,automatic,rwd,full-size,coupe,white,14500
0.211268,buick,skylark,excellent,8,gas,0.001234,clean,automatic,rwd,full-size,coupe,blue,16500
0.211268,mercedes-benz,benz 190c',excellent,4,gas,3.5e-05,clean,automatic,rwd,full-size,sedan,grey,21500
0.211268,mercedes-benz,220s - 3.0',excellent,6,gas,0.001565,clean,automatic,rwd,full-size,sedan,grey,22500
